"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","1302","Zorunlu şifre kontrolü - Şifre eksik","Default Suite","Wed May 14 01:29:23 TRT 2025","passed","Wed May 14 01:29:25 TRT 2025","LoginTests","automationexercise-TestAutomation","LoginTests","LoginRequiredController"
"","2959","Review Product - Başarılı","Default Suite","Wed May 14 01:29:50 TRT 2025","passed","Wed May 14 01:29:53 TRT 2025","ProductTests","automationexercise-TestAutomation","ProductTests","ReviewProductSuccessful"
"","3233","Kayıt işlemi - Başarısız Mail zaten kayıtlı","Default Suite","Wed May 14 01:30:22 TRT 2025","passed","Wed May 14 01:30:25 TRT 2025","RegisterTests","automationexercise-TestAutomation","RegisterTests","RegisterUnSuccessful"
"","2389","Brands - Başarılı","Default Suite","Wed May 14 01:29:57 TRT 2025","passed","Wed May 14 01:30:00 TRT 2025","ProductTests","automationexercise-TestAutomation","ProductTests","SelectBrands"
"","6763","Kayıt işlemi - Başarılı","Default Suite","Wed May 14 01:30:11 TRT 2025","passed","Wed May 14 01:30:18 TRT 2025","RegisterTests","automationexercise-TestAutomation","RegisterTests","RegisterSuccessful"
"","2847","Kullanıcı girişi - Başarısız","Default Suite","Wed May 14 01:29:37 TRT 2025","passed","Wed May 14 01:29:40 TRT 2025","LoginTests","automationexercise-TestAutomation","LoginTests","LoginUnSuccessful"
"","1934","Sepete ürün ekleme - Başarılı ","Default Suite","Wed May 14 01:29:44 TRT 2025","passed","Wed May 14 01:29:46 TRT 2025","ProductTests","automationexercise-TestAutomation","ProductTests","AddToCartSuccessful"
"","1843","E-mail adres geçerliliği kontrolü - Mail geçersiz","Default Suite","Wed May 14 01:29:17 TRT 2025","passed","Wed May 14 01:29:19 TRT 2025","LoginTests","automationexercise-TestAutomation","LoginTests","LoginEmailVerify"
"","4103","Kullanıcı girişi - Başarılı","Default Suite","Wed May 14 01:29:29 TRT 2025","passed","Wed May 14 01:29:33 TRT 2025","LoginTests","automationexercise-TestAutomation","LoginTests","LoginSuccessful"
"","2516","View Product - Başarılı","Default Suite","Wed May 14 01:30:04 TRT 2025","passed","Wed May 14 01:30:07 TRT 2025","ProductTests","automationexercise-TestAutomation","ProductTests","ViewProductSuccessful"
